_id,uid,title,detailUrl,address,phoneNumber,tags
5cd525072b653229002b60bb,c9dfcfa2612356916f3e1b7f,陕西省人民医院-心外二病区,http://api.map.baidu.com/place/detail?uid=c9dfcfa2612356916f3e1b7f&output=html&source=jsapi,友谊西路256号附近,null,"医疗,下属科室机构"
5cd525072b653229002b60bc,0ed4f34a1603609258f6beef,陕西省人民医院-东三楼,http://api.map.baidu.com/place/detail?uid=0ed4f34a1603609258f6beef&output=html&source=jsapi,含光路中段84号附近,null,"医疗,下属科室机构"
5cd525072b653229002b60bd,827eb7b789023a8a70210b0e,第九医院-多功能厅,http://api.map.baidu.com/place/detail?uid=827eb7b789023a8a70210b0e&output=html&source=jsapi,南二环东段151号,null,"医疗,综合医院,三级医院"
5cd525072b653229002b60be,98bd09fb24ae910b3a13fda7,西安理工大学医院,http://api.map.baidu.com/place/detail?uid=98bd09fb24ae910b3a13fda7&output=html&source=jsapi,西安市碑林区金花南路5号,null,"医疗,综合<font color=""#c60a00"">医院</font>"
5cd525072b653229002b60bf,15d2215e8f17f388cac3db27,惠华医院,http://api.map.baidu.com/place/detail?uid=15d2215e8f17f388cac3db27&output=html&source=jsapi,二环南路西段182附近,(029)88498811,"医疗,综合<font color=""#c60a00"">医院</font>"
5cd525072b653229002b60c0,e6b27cae7ab928ecbea2401f,西安市第五医院-后勤楼,http://api.map.baidu.com/place/detail?uid=e6b27cae7ab928ecbea2401f&output=html&source=jsapi,陕西省西安市莲湖区西关正街112号,null,"医疗,下属科室机构"
5cd525072b653229002b60c1,f14cac037434ae37220220f9,长安医院急诊胸痛中心,http://api.map.baidu.com/place/detail?uid=f14cac037434ae37220220f9&output=html&source=jsapi,陕西省西安市未央区文景路17号,null,null
5cd525072b653229002b60c2,2848ffd668ac041648cc4a08,西安莲湖华西医院,http://api.map.baidu.com/place/detail?uid=2848ffd668ac041648cc4a08&output=html&source=jsapi,西安市莲湖区莲湖路204号,"(029)89399889,(029)87335308,(029)82115977",医疗
5cd525072b653229002b60c3,8ab0dfc4fac44d0fd8eced4a,西安市妇幼保健院,http://api.map.baidu.com/place/detail?uid=8ab0dfc4fac44d0fd8eced4a&output=html&source=jsapi,西安市莲湖区西大街73号,null,生活服务
5cd525072b653229002b60c4,6f5fe278fc98975a3904b141,西安市儿童医院-器械科,http://api.map.baidu.com/place/detail?uid=6f5fe278fc98975a3904b141&output=html&source=jsapi,陕西省西安市莲湖区西举院巷69号,null,"医疗,下属科室机构"
5cd525072b653229002b60c5,2c0bd6c54ee0deb343ab9a4b,西安市华山中心医院,http://api.map.baidu.com/place/detail?uid=2c0bd6c54ee0deb343ab9a4b&output=html&source=jsapi,西安市新城区东郊韩森寨十七街坊8号,"(029)83202520,(029)83202653",null
5cd525072b653229002b60c6,d6df91c13d456773f7b91626,西安雁塔天佑儿童医院,http://api.map.baidu.com/place/detail?uid=d6df91c13d456773f7b91626&output=html&source=jsapi,西安市雁塔区科技路9号,null,null
5cd525072b653229002b60c7,c82bf5f0b5d9f97f78f7960f,西安市红会医院-4号楼,http://api.map.baidu.com/place/detail?uid=c82bf5f0b5d9f97f78f7960f&output=html&source=jsapi,陕西省西安市碑林区西安市红十字会医院,null,null
5cd525082b653229002b60c9,c91547d57b77ba1bd12dd68b,西安医学院第一附属医院-7号楼,http://api.map.baidu.com/place/detail?uid=c91547d57b77ba1bd12dd68b&output=html&source=jsapi,陕西省西安市莲湖区西安医学院第一附属医院,null,"医疗,下属科室机构"
5cd525082b653229002b60ca,8ddecd33c2690202f82d6148,西安医学院第一附属医院-视光部,http://api.map.baidu.com/place/detail?uid=8ddecd33c2690202f82d6148&output=html&source=jsapi,丰镐西路48号,null,null
5cd525082b653229002b60cb,56ffac7da9a17dcc471a3245,西安未央正泰医院-治疗室,http://api.map.baidu.com/place/detail?uid=56ffac7da9a17dcc471a3245&output=html&source=jsapi,纬二十六街59号西安未央正泰医院1层,null,"医疗,下属科室机构"
5cd525082b653229002b60cc,0d152957b9554c709122e073,西安市中心医院设备科,http://api.map.baidu.com/place/detail?uid=0d152957b9554c709122e073&output=html&source=jsapi,陕西省西安市新城区西一路街道后宰门185号西安市中心医院,null,null
5cd525082b653229002b60cd,6714f690a91c89ab22022086,西安市红会医院器械科,http://api.map.baidu.com/place/detail?uid=6714f690a91c89ab22022086&output=html&source=jsapi,西安市碑林区长安路街道南稍门南廓路76号,null,null
5cd525082b653229002b60ce,53b7f1d9543daa416d20b9eb,西安急救中心城区中心站,http://api.map.baidu.com/place/detail?uid=53b7f1d9543daa416d20b9eb&output=html&source=jsapi,友谊东路与永宁路交叉口东北50米,null,null
5cd525082b653229002b60cf,c7efc35f592524552fb9081c,中国兵器工业五二一医院-输液室,http://api.map.baidu.com/place/detail?uid=c7efc35f592524552fb9081c&output=html&source=jsapi,陕西省西安市雁塔区丈八东路12号,null,"医疗,下属科室机构"
5cd525082b653229002b60d0,ea1c3a05a11454d4990050b8,120西郊集急救分站,http://api.map.baidu.com/place/detail?uid=ea1c3a05a11454d4990050b8&output=html&source=jsapi,陕西省西安市莲湖区丰登路97号,null,null
5cd525082b653229002b60d1,219933384268146e8bb9887e,中医顺势疗法,http://api.map.baidu.com/place/detail?uid=219933384268146e8bb9887e&output=html&source=jsapi,陕西省西安市雁塔区崇业路90号附近,18792771968,null
5cd525082b653229002b60d2,7a847097cf71cc0ef82213a0,西安市医学影像中心,http://api.map.baidu.com/place/detail?uid=7a847097cf71cc0ef82213a0&output=html&source=jsapi,西一路街道西五路161号,null,null
5cd525082b653229002b60d3,326cde879843b142a3acc49f,陕西省肿瘤医院,http://api.map.baidu.com/place/detail?uid=326cde879843b142a3acc49f&output=html&source=jsapi,西安市雁塔区雁塔西路309号,(029)85276049,null
5cd525082b653229002b60d4,2cc3c8e8ac795fcf4c2fdfb2,陕西省友谊医院,http://api.map.baidu.com/place/detail?uid=2cc3c8e8ac795fcf4c2fdfb2&output=html&source=jsapi,陕西省西安市友谊西路277号,(029)85360950,null
5cd525082b653229002b60d5,a5e458d5401243cde9f85337,西安医学院第一附属医院,http://api.map.baidu.com/place/detail?uid=a5e458d5401243cde9f85337&output=html&source=jsapi,西安市莲湖区沣镐西路48号,(029)84277356,null
5cd525082b653229002b60d6,a791853bb3987ffe213bf26c,西安市第三医院-门诊楼,http://api.map.baidu.com/place/detail?uid=a791853bb3987ffe213bf26c&output=html&source=jsapi,陕西省西安市未央区大明宫街道贞观路西安市第三人民医院,null,null
5cd525082b653229002b60d7,3b2a4fc3242bfd65d92f28e0,西安冶金医院,http://api.map.baidu.com/place/detail?uid=3b2a4fc3242bfd65d92f28e0&output=html&source=jsapi,西安市莲湖区枣园西路40号,(029)84619424,null
5cd525082b653229002b60d8,28e700f158604a18095cb31d,桃园社区卫生服务中心,http://api.map.baidu.com/place/detail?uid=28e700f158604a18095cb31d&output=html&source=jsapi,西安市莲湖区丰登路300号,"(029)84223546,(029)84241712","医疗,社区医疗/诊所/卫生所"
5cd525082b653229002b60d9,6dd562a136674bce373a71c7,西安交通大学第二附属医院(大明宫院区),http://api.map.baidu.com/place/detail?uid=6dd562a136674bce373a71c7&output=html&source=jsapi,西安市未央区大明宫·圣远广场(建强路西),null,null
5cd525082b653229002b60da,080bc1190d8063b592114c5c,西安浐灞强森医院,http://api.map.baidu.com/place/detail?uid=080bc1190d8063b592114c5c&output=html&source=jsapi,陕西省西安市未央区金茂一路与金桥六路交叉口,(029)83511984,null
5cd525082b653229002b60db,3be122e1185c92521ef74d45,西安市灞桥区十里铺骨科医院,http://api.map.baidu.com/place/detail?uid=3be122e1185c92521ef74d45&output=html&source=jsapi,西安市灞桥区十里铺村华清东路与十里铺南路交口东南方向,(029)82526160,"医疗,专科<font color=""#c60a00"">医院</font>"
5cd525082b653229002b60dc,58a180d9e1f5ecb7c8213d9a,西安爱尔眼科医院,http://api.map.baidu.com/place/detail?uid=58a180d9e1f5ecb7c8213d9a&output=html&source=jsapi,西安市雁塔区丈八东路6号,null,null
5cd525082b653229002b60dd,80c3746a0359df47c9e33c89,西安和平中医医院,http://api.map.baidu.com/place/detail?uid=80c3746a0359df47c9e33c89&output=html&source=jsapi,西安市碑林区环城南路东段128号,null,null
5cd525082b653229002b60de,7606dd923281b99dca2915cb,西安未央泰和医院,http://api.map.baidu.com/place/detail?uid=7606dd923281b99dca2915cb&output=html&source=jsapi,西安市未央区辛家庙泰和居南门旁,(029)86102720,null
5cd525082b653229002b60df,3500d93ba51b1aa7f6c59c40,西安雁塔天佑妇产医院,http://api.map.baidu.com/place/detail?uid=3500d93ba51b1aa7f6c59c40&output=html&source=jsapi,西安市雁塔区兴善寺东街77号,null,null
5cd525082b653229002b60e0,45edbea8b2ce7860e4e965aa,第四军医大学口腔医院,http://api.map.baidu.com/place/detail?uid=45edbea8b2ce7860e4e965aa&output=html&source=jsapi,西安市新城区长乐西路145号,(029)84776225,null
5cd525082b653229002b60e1,2dd088bf7aab13b175e5b61f,西安光仁医院,http://api.map.baidu.com/place/detail?uid=2dd088bf7aab13b175e5b61f&output=html&source=jsapi,西安市新城区南新街28号,null,null
5cd525082b653229002b60e2,288cc6e5f9804a558f1a898c,西安三秦医院,http://api.map.baidu.com/place/detail?uid=288cc6e5f9804a558f1a898c&output=html&source=jsapi,西安市新城区西五路1号,(029)87416688,"医疗,综合<font color=""#c60a00"">医院</font>"
5cd525082b653229002b60e3,6b69fba523b4e0bf2efaa7ac,西安交通大学口腔医院,http://api.map.baidu.com/place/detail?uid=6b69fba523b4e0bf2efaa7ac&output=html&source=jsapi,西安市新城区西五路98号,(029)87275706,"医疗,综合<font color=""#c60a00"">医院</font>,三级<font color=""#c60a00"">医院</font>"
5cd525082b653229002b60e4,f633606ae1c810570a69d9e0,协同医院,http://api.map.baidu.com/place/detail?uid=f633606ae1c810570a69d9e0&output=html&source=jsapi,西安市碑林区友谊西路166号,null,null
5cd525082b653229002b60e5,53349ee346234c772202621c,西安爱尔古城眼科医院,http://api.map.baidu.com/place/detail?uid=53349ee346234c772202621c&output=html&source=jsapi,西安市莲湖区自强西路59号,"(029)86283800,(029)86288155,(029)86286699","医疗,综合<font color=""#c60a00"">医院</font>"
5cd525082b653229002b60e6,58949a2d86c5dc07f7e73bd3,西安汉城妇产医院,http://api.map.baidu.com/place/detail?uid=58949a2d86c5dc07f7e73bd3&output=html&source=jsapi,陕西省西安市未央区凤城七路,null,null
5cd525082b653229002b60e7,9ee392b8d897e058babd63b6,西安国医肿瘤医院,http://api.map.baidu.com/place/detail?uid=9ee392b8d897e058babd63b6&output=html&source=jsapi,西安市雁塔区雁南一路13号,null,医疗
5cd525082b653229002b60e8,cec093a305cfc97d2dfaa721,空军军医大学第四军医大学西京医院-骨科床位号9-10,http://api.map.baidu.com/place/detail?uid=cec093a305cfc97d2dfaa721&output=html&source=jsapi,西安市新城区长乐西路127号第四军医大学西京医院骨科F4,null,null
5cd525082b653229002b60e9,155cb88f5701a997c9fa5fb8,空军军医大学第四军医大学西京医院-肝胆胰脾外科一病区16-18,http://api.map.baidu.com/place/detail?uid=155cb88f5701a997c9fa5fb8&output=html&source=jsapi,西安市新城区长乐西路127号第四军医大学西京医院住院一部F6,null,null
